weigh,total,courier,consignnote
1.00,8.5000,1,SBG24000103
13.28,20.9000,1,SPT24000604
174.98,122.5000,1,SPT24000605
14.00,22.1000,1,JHB24000044
0.35,6.5000,1,SPT24000607
1.00,6.4000,1,SPT24000608
1.00,6.4000,1,SPT24000609
10.04,16.1000,5,MYCQY00006232
155.40,144.8600,1,SPT24000611
23.80,30.6600,1,SPT24000612
1.00,6.5000,1,SPT24000615
1.20,6.4000,1,SPT24000616
29.60,37.2700,1,SPT24000618
52.40,57.9000,1,SPT24000619
1.34,9.7000,1,SPT24000620
0.76,6.5000,1,SPT24000622
68.80,72.4100,1,SPT24000623
60.20,65.2000,1,SPT24000624
42.00,48.0800,1,SPT24000625
11.50,17.4300,1,SPT24000627
140.00,154.3000,1,SBG24000112
45.20,51.6900,1,SPT24000628
5.00,9.7100,1,SPT24000632
56.55,67.1000,1,SPT24000633
2.50,7.5000,1,SPT24000634
8.00,13.0200,1,SPT24000635
15.77,23.3000,1,SPT24000636
10.00,15.2200,1,SPT24000637
17.80,9.5900,1,SPT24000638
4.00,8.6100,1,SPT24000639
18.40,10.1200,1,SPT24000640
0.01,6.5000,1,SPT24000641
3.00,7.5000,1,SPT24000642
103.00,82.1000,1,SPT24000643
27.83,37.7000,1,SPT24000644
25.70,13.8300,1,SPT24000645
29.08,15.9500,1,SPT24000646
34.80,18.6000,1,SPT24000647
8.60,14.1200,1,SPT24000648
4.25,10.1000,1,SPT24000649
0.37,6.5000,1,SPT24000650
4.00,8.6100,1,SPT24000652
18.00,24.0400,1,SPT24000653
0.97,6.4000,1,SBG24000113
46.00,51.6900,1,SPT24000654
2.24,6.7400,1,SPT24000655
334.00,361.3000,1,SPT24000656
1.00,6.5000,1,SPT24000657
0.02,11.4000,1,SBG24000121
2.00,5.7500,1,SPT24000659
9.60,21.5000,1,JHB24000045
23.04,41.0000,1,JHB24000046
23.04,41.0000,1,JHB24000047
23.04,41.0000,1,JHB24000048
9.60,21.5000,1,JHB24000049
29.00,23.2000,1,SPT24000661
10.00,8.0000,1,SPT24000662
23.00,18.4000,1,SPT24000663
21.00,16.8000,1,SPT24000664
18.60,10.1200,1,SPT24000665
12.33,8.0000,1,SPT24000666
10.60,8.0000,1,SPT24000667
18.40,10.1200,1,SPT24000668
25.50,13.8300,1,SPT24000669
8.00,14.9000,1,SBG24000123
1.00,6.5000,1,SPT24000670
17.80,9.5900,1,SPT24000671
1.00,6.4000,1,SPT24000672
11.60,12.7000,1,SPT24000674
14.30,16.0000,1,SPT24000675
4.00,5.0000,5,MYCQY00006233
1.00,5.0000,1,SPT24000676
23.10,32.9000,1,SPT24000677
16.80,22.9400,1,SPT24000679
17.00,13.6000,1,SPT24000680
29.40,37.2000,1,SPT24000681
67.22,71.4000,1,SPT24000682
7.60,13.0000,1,SPT24000683
1.50,6.4000,1,SPT24000684
1.50,6.4000,1,SPT24000685
8.60,14.1200,1,SPT24000686
3.50,8.6100,1,SPT24000687
8.00,106.3200,3,XEN00001174
3.00,7.5000,1,SPT24000690
9.60,21.5000,1,JHB24000050
3.00,7.5000,1,SPT24000691
5.00,9.7100,1,SPT24000693
110.00,77.0000,1,SPT24000695
151.30,106.4000,1,SPT24000696
1.90,6.4000,1,SPT24000698
4.00,8.6100,1,SPT24000699
38.00,30.4000,1,SPT24000700
