consignnote,courier,state,weigh,total,datepickup
SPT24022687,1,JOHOR,5.15,11.4500,"2024-10-08 00:00:00"
SPT24022688,1,SELANGOR,2.00,5.3000,"2024-10-08 00:00:00"
SPT24022689,1,SELANGOR,26.00,24.8000,"2024-10-08 00:00:00"
SPT24022690,1,SELANGOR,45.37,54.7000,"2024-10-08 00:00:00"
SPT24022691,1,SELANGOR,21.30,20.9900,"2024-10-08 00:00:00"
300065028265,8,"NEGERI SEMBILAN",111.86,106.8500,"2024-10-08 00:00:00"
SPT24022692,1,KELANTAN.,16.00,13.5700,"2024-10-08 00:00:00"
SPT24022693,1,"PULAU PINANG",2.00,5.3000,"2024-10-08 00:00:00"
SPT24022694,1,KELANTAN,19.00,16.1100,"2024-10-08 00:00:00"
AOR24001540,1,JOHOR,9.10,9.3300,"2024-10-08 00:00:00"
SPT24022695,1,"KUALA LUMPUR",2.38,7.9500,"2024-10-08 00:00:00"
SPT24022697,1,SELANGOR,2.00,6.7800,"2024-10-08 00:00:00"
SPT24022698,1,JOHOR,55.00,40.8100,"2024-10-08 00:00:00"
SPT24022699,1,PAHANG,50.00,37.1000,"2024-10-08 00:00:00"
SPT24022700,1,JOHOR,12.00,11.4500,"2024-10-08 00:00:00"
SPT24022701,1,TERENGGANU,12.00,11.4500,"2024-10-08 00:00:00"
SPT24022702,1,JOHOR,360.00,267.1200,"2024-10-08 00:00:00"
AOR24001541,1,,2.45,6.3600,"2024-10-08 00:00:00"
AOR24001542,1,,1.45,6.3600,"2024-10-08 00:00:00"
SPT24022703,1,KEDAH,5.55,11.4500,"2024-10-08 00:00:00"
AOR24001543,1,JOHOR,3.35,6.3600,"2024-10-08 00:00:00"
SPT24022704,1,"KUALA LUMPUR",15.30,18.1300,"2024-10-08 00:00:00"
KLT24000093,1,KEDAH,10.00,13.7800,"2024-10-08 00:00:00"
SPT24022705,1,"NEGERI SEMBILAN",75.00,63.6000,"2024-10-08 00:00:00"
SPT24022706,1,SELANGOR,10.20,17.2800,"2024-10-08 00:00:00"
SPT24022707,1,"KUALA LUMPUR",6.00,11.9800,"2024-10-08 00:00:00"
MYCQY00009125,5,PERAK,12.05,19.6100,"2024-10-08 00:00:00"
SPT24022708,1,JOHOR,27.00,15.2200,"2024-10-08 00:00:00"
SPT24022710,1,SELANGOR,66.40,74.7300,"2024-10-08 00:00:00"
MYCQY00009126,5,TERENGGANU,1.20,8.1600,"2024-10-08 00:00:00"
SPT24022711,1,"KUALA LUMPUR",13.20,23.4300,"2024-10-08 00:00:00"
SPT24022712,1,SELANGOR,62.50,82.2600,"2024-10-08 00:00:00"
SPT24022715,1,"KUALA LUMPUR",4.16,19.0800,"2024-10-08 00:00:00"
AOR24001544,1,KELANTAN,9.20,9.3300,"2024-10-08 00:00:00"
SPT24022716,1,"PULAU PINANG",8.00,17.9100,"2024-10-08 00:00:00"
SPT24022717,1,"NEGERI SEMBILAN",5.70,11.4500,"2024-10-08 00:00:00"
SPT24022718,1,TERENGGANU,67.40,75.6800,"2024-10-08 00:00:00"
SBG24004255,1,KEDAH,0.20,12.0800,"2024-10-08 00:00:00"
SPT24022719,1,SELANGOR,83.20,90.9500,"2024-10-08 00:00:00"
SPT24022720,1,JOHOR,25.00,21.2000,"2024-10-08 00:00:00"
SPT24022721,1,KEDAH,75.00,71.5500,"2024-10-09 00:00:00"
